date,open,high,low,close,volume,dividend_amount
29-10-2007,187,188.7,184,184.3,405924,0
30-10-2007,186.6,186.6,180.6,181.1,348741,0
31-10-2007,182,182.95,178.1,178.75,669270,0
01-11-2007,179.2,181,175,176.05,498476,0
02-11-2007,173.9,175.6,172.7,173.6,340520,0
05-11-2007,175,179.95,171,176.8,534765,0
06-11-2007,178,180,176.8,177.8,350401,0
07-11-2007,179,181.8,177,179.25,332982,0
08-11-2007,179.7,179.95,176,176.65,183097,0
12-11-2007,173.85,183.25,173.85,182,282688,0
13-11-2007,182,185,179.6,180.7,204404,0
14-11-2007,185,185,180.55,182.1,299572,0
15-11-2007,184,185,179.05,179.95,373992,0
16-11-2007,179.1,183.5,178.05,180.65,1433168,0
19-11-2007,184,189.5,182,186.85,524877,0
20-11-2007,188,190,185.1,185.9,276497,0
21-11-2007,188,188,180,181.25,261586,0
22-11-2007,180,184.95,178.95,182.95,284141,0
23-11-2007,185,185,180.35,181.25,180526,0
26-11-2007,183.4,184.15,182.15,182.75,173054,0
27-11-2007,185,185,180.5,182.9,129005,0
28-11-2007,185,185,181.2,182.1,121076,0
29-11-2007,189.8,189.8,180.65,181.5,96342,0
30-11-2007,183.4,185,181.6,183.45,677036,0
03-12-2007,187,189,184,185,215292,0
04-12-2007,188,188,183.5,184.8,421875,0
05-12-2007,187,190.8,183.5,189.35,484997,0
06-12-2007,190,203.8,190,198.6,1875497,0
07-12-2007,195,205,195,196.8,557765,0
10-12-2007,199.9,199.95,192.1,192.8,317947,0
11-12-2007,194.9,197.4,193.5,194.95,214944,0
12-12-2007,193,200.95,190.2,199.55,417581,0
13-12-2007,202.5,207.85,200.25,203.75,834658,0
14-12-2007,207,211.75,205,209.15,1087673,0
17-12-2007,210,215,205.2,207.9,845393,0
18-12-2007,209,218.55,205.1,215.75,1048476,0
19-12-2007,218.5,222,210,215.35,780288,0
20-12-2007,216,217,210,210.95,296244,0
24-12-2007,214.8,214.95,211.4,213.4,370055,0
26-12-2007,214,218.4,211.35,216.7,532145,0
27-12-2007,218,218,214,215.7,260857,0
28-12-2007,215.4,215.9,210,214.9,195724,0
31-12-2007,216.95,216.95,210.6,212.6,211411,0
01-01-2008,211.65,211.65,211.65,211.65,203875,0
02-01-2008,213,224.1,209,218.9,598569,0
03-01-2008,219,220,214.5,215.8,323195,0
04-01-2008,215.9,219.9,212,212.7,265906,0
07-01-2008,212.5,213.95,210,211.9,221645,0
08-01-2008,215,215,207.55,209.15,213810,0
09-01-2008,209,211.9,208.1,208.8,169788,0
10-01-2008,211.5,211.5,201,202.15,171277,0
11-01-2008,203,206.7,201,204.2,272346,0
14-01-2008,205,207,201.5,204.65,110528,0
15-01-2008,205.9,206.8,202,204.55,144990,0
16-01-2008,204.55,209.95,200.25,205.25,351589,0
17-01-2008,205,211.4,204.5,209,334932,0
18-01-2008,208.9,208.9,199,202.45,455660,0
21-01-2008,202,202.45,184,190.45,677355,0
22-01-2008,182.1,185,161,174.95,1059220,0
23-01-2008,188,189,172,182.3,311934,0
24-01-2008,180,188,172.1,175.2,254063,0
25-01-2008,180,185,179,183.3,146207,0
28-01-2008,186.45,186.45,177,184.6,199839,0
29-01-2008,186,193,185,190.75,201824,0
30-01-2008,192,193.5,186,188.75,176456,0
31-01-2008,185,190.1,184.8,188.45,145257,0
01-02-2008,186,197.85,185.05,196.25,214186,0
04-02-2008,199,205,197.5,199.35,413811,0
05-02-2008,199,204.1,197,202.95,619083,0
06-02-2008,199,203,196,202.15,240167,0
07-02-2008,202,202,193,194.75,277756,0
08-02-2008,193,199,190.05,195.35,236217,0
11-02-2008,195,197,184,186.4,364004,0
12-02-2008,188,192.2,185.4,186.35,268041,0
13-02-2008,189,189,178.4,179.45,336931,0
14-02-2008,185,190,179.1,180.3,582336,0
15-02-2008,182,184.5,178.05,183.85,137125,0
18-02-2008,185,185.7,182,184.8,80741,0
19-02-2008,186,189.4,185.6,188,110930,0
20-02-2008,187,187.4,183.2,185.5,131030,0
21-02-2008,186,189.4,186,188.35,119239,0
22-02-2008,190,199.75,187.25,198.6,441636,0
25-02-2008,200.7,202.95,196,202,278407,0
26-02-2008,204.2,204.95,199.05,201.45,136376,0
27-02-2008,202,203.9,200,201.55,142935,0
28-02-2008,199,206.9,199,206.05,440643,0
29-02-2008,208,213.25,203.5,207.25,872511,0
03-03-2008,206.5,214.8,202.1,211.65,1163256,0
04-03-2008,211,215,199.25,201.9,856537,0
05-03-2008,202,207.1,200.7,205.45,360098,0
07-03-2008,200,204,196.5,199.95,483310,0
10-03-2008,199.95,208.55,190.05,200.9,404310,0
11-03-2008,201.1,204.9,193.55,195.8,1343569,0
12-03-2008,198.8,207.8,197.55,204.15,823160,0
13-03-2008,203,207.5,196,200.9,730217,0
14-03-2008,200.5,206.25,199,205.35,512726,0
17-03-2008,201.7,204.55,198.5,200.4,458371,0
18-03-2008,201,207.15,198.7,204.45,397786,0
19-03-2008,206.85,210.9,204.55,206,566762,0
24-03-2008,208,209.95,204.25,206.15,309777,0
25-03-2008,210,213.4,207,209.75,462914,0
26-03-2008,211.5,212.2,204.1,205.65,336920,0
27-03-2008,205,213,204.2,211.6,341316,0
28-03-2008,214.2,218.8,212,217.55,432544,0
31-03-2008,216,224,214,219.75,485756,0
01-04-2008,220,223,215.05,219.45,234415,0
02-04-2008,223,224.9,218.5,219.25,394369,0
03-04-2008,218.9,221.2,215.05,219.8,314864,0
04-04-2008,221,221.9,212,213.8,296009,0
07-04-2008,213,217.9,210.15,214.95,260564,0
08-04-2008,216,216.65,211.65,212.45,148624,0
09-04-2008,212,219.1,210.5,217.6,285495,0
10-04-2008,218.5,219,213,214.05,173763,0
11-04-2008,216,217,213.25,214.2,136052,0
15-04-2008,214.2,221,210.5,219,293795,0
16-04-2008,221,222,217.05,219.2,186243,0
17-04-2008,220,223.15,218.65,221.85,228648,0
21-04-2008,224.5,227.5,222.5,225.7,432135,0
22-04-2008,225,232.85,225,230.75,457535,0
23-04-2008,233,233.8,228.1,229.85,212546,0
24-04-2008,232,232.75,224.3,226.15,185007,0
25-04-2008,227.5,229.4,221.1,224.3,239616,0
28-04-2008,226.8,228,214.3,215.15,570420,0
29-04-2008,216,218.95,213.1,214.7,499407,0
30-04-2008,216.5,217.65,212.1,213.05,399273,0
02-05-2008,216,216,212.2,212.95,234227,0
05-05-2008,214.7,218,211.05,216,262204,0
06-05-2008,218,220.9,215.05,216.25,437162,0
07-05-2008,216,217.7,214,214.85,180877,0
08-05-2008,213.45,214.45,211,211.55,109712,0
09-05-2008,212,213,205,205.6,126337,0
12-05-2008,205.6,208.9,201.1,207.8,200422,0
13-05-2008,210.8,212,206.25,207.55,290027,0
14-05-2008,207.1,212.5,205.45,209.35,267408,0
15-05-2008,210.8,214.7,209.65,213.7,303896,0
16-05-2008,214.2,215.95,211.05,212.5,145102,0
20-05-2008,210,212.5,207.1,208.2,149081,0
21-05-2008,206.9,207.9,203.5,204,528436,0
22-05-2008,202,205.95,200.85,203.1,208973,0
23-05-2008,205,205.85,202,203.5,121110,0
26-05-2008,202,205,196.2,199,112927,0
27-05-2008,203,206,198.35,205.05,248791,0
28-05-2008,206,208.7,204,207.75,243967,0
29-05-2008,209,218.25,208.2,213.95,602698,0
30-05-2008,214.5,219.15,210.5,212.05,494380,0
02-06-2008,211,215,206.1,207.75,1538927,0
03-06-2008,205,211.55,204,210.45,221606,0
04-06-2008,211,214.55,206,207.4,388946,0
05-06-2008,208,211.4,205.3,210.7,151528,0
06-06-2008,213,213,206,207.4,101083,0
09-06-2008,200,207,200,206.65,258376,0
10-06-2008,205,212.2,204,211.05,386998,0
11-06-2008,213,220.4,213,218.25,1114892,0
12-06-2008,214,223.8,213,217,721481,0
13-06-2008,218.2,218.6,210.5,211.3,295648,0
16-06-2008,211,218.9,210,216.75,254604,0
17-06-2008,217,221.3,215,218,244945,0
18-06-2008,219.9,220,215.3,216.85,147446,0
19-06-2008,215,218.5,213,217.35,187831,0
20-06-2008,219.2,219.95,209,212.1,470501,0
23-06-2008,210,214.8,206.25,212.05,2263959,0
24-06-2008,211,215.7,208.65,213,452384,0
25-06-2008,209.05,211.9,206.35,207.6,423481,0
26-06-2008,209.8,219.9,206.6,216.65,565149,0
27-06-2008,210,212.85,209,210.5,295980,0
30-06-2008,214,214,209.3,211.1,388990,0
01-07-2008,211.4,213.5,203,207.35,406933,0
02-07-2008,206.85,215.5,206.85,214.25,279849,0
03-07-2008,212,219,210,211.55,276892,0
04-07-2008,211.95,213.4,205.5,207.95,237715,0
07-07-2008,209,211.7,206.7,208.4,209341,0
08-07-2008,205.55,210.5,204.25,207,379584,0
09-07-2008,209,211.45,209,209.9,238088,0
10-07-2008,208.6,212.25,208.6,211.6,167334,0
11-07-2008,212.95,213,208.1,211.35,85971,0
14-07-2008,211.9,215.9,210,214.65,185774,0
15-07-2008,213,213.75,205.5,207.6,164874,0
16-07-2008,202.25,212,202.25,208.7,173748,0
17-07-2008,211,213,208.5,211.75,137624,0
18-07-2008,215,219.4,212.25,215.25,584593,0
21-07-2008,216.5,227.95,215.25,226.45,740477,0
22-07-2008,227,239.4,225.25,237.75,975439,0
23-07-2008,239.85,243,231,232.5,487733,0
24-07-2008,230.95,235.5,226.3,231.75,386653,0
25-07-2008,229,235.05,223.6,225.6,505400,0
28-07-2008,225.6,228.9,222,222.95,204909,0
29-07-2008,224.75,225.05,218,218.95,233618,0
30-07-2008,220,222,218.35,220.05,316381,0
31-07-2008,221,223.45,216.1,218.7,238810,0
01-08-2008,216.85,221,216.85,220.05,206983,0
04-08-2008,221.9,223.5,219.5,220.05,372282,0
05-08-2008,218.9,227.45,218.6,226.2,429154,0
06-08-2008,228,229.85,222.4,223.6,164154,0
07-08-2008,227,228.5,221.1,227.45,311262,0
08-08-2008,226.1,235,225.55,234.55,575598,0
11-08-2008,239.8,239.8,230.05,233.7,434191,0
12-08-2008,233.35,234,223.55,225.05,286380,2
13-08-2008,223.85,234.7,223.4,232.15,346123,0
14-08-2008,233,236.95,230,233.45,355988,0
18-08-2008,234,237.1,232.15,235.05,254934,0
19-08-2008,235,236.6,233.55,234.2,141310,0
20-08-2008,236,241.7,234,240.05,477286,0
21-08-2008,234,241,234,236.65,227366,0
22-08-2008,235,238.45,232.5,237.25,138274,0
25-08-2008,238.35,239.5,235.6,236.85,140575,0
26-08-2008,235,238.9,232.1,238.45,82679,0
27-08-2008,239,240.5,237.05,238.2,159789,0
28-08-2008,239,243.55,237.15,239.3,400723,0
29-08-2008,241.1,241.75,237.55,240.2,576674,0
01-09-2008,239.6,240,235.55,238.05,64698,0
02-09-2008,238.9,239.9,233.5,238.7,162691,0
04-09-2008,235,239.4,235,236.5,54751,0
05-09-2008,235,236,233,234.35,145567,0
08-09-2008,237.1,239,233.5,234.95,61556,0
09-09-2008,234.45,234.75,232.05,233.4,246381,0
10-09-2008,232,233,229.05,229.9,374160,0
